日期,Total_OI,開盤價,最高價,最低價,收盤價,結算價,Inst_Net_OI,Retail_Net_OI,Retail_Ratio
2024/07/29,3043.0,22400,22511,22150,22259,22256,-1645,1645,0.5405849490634242
2024/07/30,5236.0,21930,22300,21810,22259,22252,-1165,1165,0.22249809014514896
2024/07/31,9184.0,21999,22348,21999,22288,22284,3114,-3114,-0.33906794425087106
2024/08/01,11587.0,22719,22727,22461,22655,22660,4726,-4726,-0.4078708897902822
2024/08/02,21206.0,22008,22099,21508,21536,21526,-4597,4597,0.21677827030085825
2024/08/05,26627.0,20737,20747,19374,19374,19374,1712,-1712,-0.06429563976414918
2024/08/06,18819.0,20395,20788,19604,20422,20455,6489,-6489,-0.3448110951697752
2024/08/07,27186.0,20461,21334,20401,21135,21142,14074,-14074,-0.5176929301846539
2024/08/08,29860.0,20700,21080,20550,20693,20698,2687,-2687,-0.08998660415271266
2024/08/09,36389.0,21339,21591,21140,21475,21483,13211,-13211,-0.3630492731319904
2024/08/12,35313.0,21620,21894,21604,21671,21676,11034,-11034,-0.3124628323846742
2024/08/13,35503.0,21835,21898,21663,21770,21771,11052,-11052,-0.3112976368194237
2024/08/14,35503.0,22149,22156,21910,21983,21996,19845,-19845,-0.5589668478720108
2024/08/15,36279.0,21990,22114,21837,21844,21840,17463,-17463,-0.4813528487554784
2024/08/16,29684.0,22366,22445,22278,22369,22365,13584,-13584,-0.4576202668104029
2024/08/19,28460.0,22396,22520,22321,22356,22361,9935,-9935,-0.3490864371047084
2024/08/20,26775.0,22557,22573,22390,22438,22435,8039,-8039,-0.3002427637721755
2024/08/21,26916.0,22288,22343,22152,22199,0,-6974,6974,0.2591023926289196
2024/08/22,25621.0,22232,22275,22026,22101,22100,-9607,9607,0.3749658483275438
2024/08/23,30250.0,21917,22170,21868,22123,22123,-14866,14866,0.4914380165289256
2024/08/26,32314.0,22245,22450,22133,22205,22210,-17272,17272,0.534505168038621
2024/08/27,33276.0,22114,22207,21998,22154,22152,-21668,21668,0.6511599951917297
2024/08/28,32898.0,22202,22411,22050,22401,22405,-14924,14924,0.45364459845583316
2024/08/29,27233.0,22000,22244,21901,22175,22167,-14106,14106,0.5179745162119488
2024/08/30,25775.0,22291,22364,22213,22320,22318,-10137,10137,0.39328806983511155
2024/09/02,32126.0,22320,22445,22173,22220,22212,-19207,19207,0.5978646579094814
2024/09/03,34554.0,22200,22313,22012,22060,22051,-22388,22388,0.6479134108930948
